sample	CellType	Cell.type2	Tissue	Age	Nmut	SBS1	SBS5	SBS8	clock_like	SBS9	SBS18	SBS7a	SBS17b	mutations	abs_clock	id
PD43974cu	B Naive	Naive B	spleen	81	600	0.11775778	0.88224222	0	1	0	0	0	0	580	580	PD43974cu
PD43974cx	B Memory	Memory B	spleen	81	822	0.070260312	0.600070852	0.091207347	0.761538511	0.238461489	0	0	0	818	622.9385019	PD43974cx
PD43974cy	B Naive	Naive B	spleen	81	1270	0.120512433	0.879487567	0	1	0	0	0	0	1269	1269	PD43974cy
PD43974da	B Memory	Memory B	spleen	81	1399	0.054351058	0.354167872	0	0.40851893	0.540810379	0	0	0.050670691	1394	569.4753878	PD43974da
PD43974db	B Memory	Memory B	spleen	81	2594	0.064636756	0.376712234	0.090845258	0.532194248	0.467805752	0	0	0	2583	1374.657743	PD43974db
PD43974de	B Memory	Memory B	spleen	81	2914	0.057088351	0.424705843	0	0.481794194	0.466694126	0	0	0.05151168	2903	1398.648546	PD43974de
PD43974df	B Memory	Memory B	spleen	81	1552	0.051517865	0.351971241	0	0.403489106	0.548585337	0	0	0.047925557	1548	624.6011354	PD43974df
PD43974dh	B Memory	Memory B	spleen	81	4707	0.035333853	0.357251212	0	0.392585065	0.503533682	0	0	0.103881253	4680	1837.298103	PD43974dh
PD43974di	B Memory	Memory B	spleen	81	2679	0.056235517	0.414784049	0.110704387	0.581723953	0.374872976	0	0	0.043403071	2664	1549.712611	PD43974di
PD43974dj	B Memory	Memory B	spleen	81	1970	0.059214179	0.396581083	0	0.455795262	0.544204738	0	0	0	1955	891.0797369	PD43974dj
PD43974dk	B Memory	Memory B	spleen	81	1392	0.055936641	0.455384534	0	0.511321176	0.488678824	0	0	0	1381	706.1345434	PD43974dk
PD43974ec	B Memory	Memory B	blood	81	1272	0.077988029	0.572046339	0	0.650034368	0.349965632	0	0	0	1261	819.6933377	PD43974ec
